# TSA preview manifest. Compressed headered TSAs (.tsa.bin.lz) parsed WITH their 2-byte header.
# preview	confidence	status	tsa_source	tileset	palette	offset	width	height	note	check	check_issue	dropped_pct
preview/tsa/banim/dragonfx/Tsa_DemonLightBg4_Close_0.png	high	ok	graphics/banim/dragonfx/Tsa_DemonLightBg4_Close_0.map.bin.lz	graphics/banim/dragonfx/Tsa_EfxDracoZombie2.4bpp.lz	graphics/banim/dragonfx/Pal_EfxDracoZombie.gbapal	0	30	20	green effect bg + small sprites	correct		0
preview/tsa/banim/dragonfx/Tsa_DemonLightBg4_Close_1.png	high	repaired	graphics/banim/dragonfx/Tsa_DemonLightBg4_Close_1.map.bin.lz	graphics/banim/dragonfx/Img_087C619C.4bpp.lz	graphics/banim/dragonfx/Pal_087C92B0.gbapal	0	30	20	green effect bg; Img tileset gave noise, Zombie2 clean	effect_layer_ok		0
preview/tsa/banim/dragonfx/Tsa_DemonLightBg4_Close_2.png	high	repaired	graphics/banim/dragonfx/Tsa_DemonLightBg4_Close_2.map.bin.lz	graphics/banim/dragonfx/Img_087C6CF4.4bpp.lz	graphics/banim/dragonfx/Pal_087C92D0.gbapal	0	30	20	green effect bg + small sprites	effect_layer_ok		0
preview/tsa/banim/dragonfx/Tsa_DemonLightBg4_Close_3.png	high	repaired	graphics/banim/dragonfx/Tsa_DemonLightBg4_Close_3.map.bin.lz	graphics/banim/dragonfx/Img_087C7678.4bpp.lz	graphics/banim/dragonfx/Pal_087C92F0.gbapal	0	30	20	green effect bg + small sprites	effect_layer_ok		0
preview/tsa/banim/dragonfx/Tsa_DemonLightBg4_Close_4.png	high	repaired	graphics/banim/dragonfx/Tsa_DemonLightBg4_Close_4.map.bin.lz	graphics/banim/dragonfx/Img_087C810C.4bpp.lz	graphics/banim/dragonfx/Pal_087C9310.gbapal	0	30	20	green effect bg + small sprites	effect_layer_ok		0
preview/tsa/banim/dragonfx/Tsa_DemonLightBg4_Close_5.png	high	repaired	graphics/banim/dragonfx/Tsa_DemonLightBg4_Close_5.map.bin.lz	graphics/banim/dragonfx/Img_087C86BC.4bpp.lz	graphics/banim/dragonfx/Pal_087C9330.gbapal	0	30	20	green effect bg + small sprites (Zombie3)	effect_layer_ok		0
preview/tsa/banim/dragonfx/Tsa_DemonLightBg4_Close_6.png	high	repaired	graphics/banim/dragonfx/Tsa_DemonLightBg4_Close_6.map.bin.lz	graphics/banim/dragonfx/Img_087C8C80.4bpp.lz	graphics/banim/dragonfx/Pal_087C9350.gbapal	0	30	20	green effect bg; Img gave noise, Zombie2 clean	effect_layer_ok		0
preview/tsa/banim/dragonfx/Tsa_DemonLightBg4_Close_7.png	medium	repaired	graphics/banim/dragonfx/Tsa_DemonLightBg4_Close_7.map.bin.lz	graphics/banim/dragonfx/Img_087C7678.4bpp.lz	graphics/banim/dragonfx/Pal_087C9370.gbapal	0	30	20	green effect bg + small sprites (Zombie4)	effect_layer_ok		0
preview/tsa/banim/dragonfx/Tsa_DemonLightBg3_Close_0.png	high	ok	graphics/banim/dragonfx/Tsa_DemonLightBg3_Close_0.map.bin.lz	graphics/banim/dragonfx/Img_EfxDracoZombie.4bpp.lz	graphics/banim/dragonfx/Pal_EfxDracoZombie.gbapal	0	30	20	dragon-zombie banim creature centered, natural palette; all other pals garish mono	correct	Recognizable dragon-zombie creature in cleared center window, natural muted palette, surrounded by a coherent repeating decorative tile field (no magenta, no random noise). Matches style of other high-conf frames like idx 21.	0
preview/tsa/banim/dragonfx/Tsa_DemonLightBg3_Close_1.png	high	ok	graphics/banim/dragonfx/Tsa_DemonLightBg3_Close_1.map.bin.lz	graphics/banim/dragonfx/Img_EfxDracoZombie.4bpp.lz	graphics/banim/dragonfx/Pal_EfxDracoZombie.gbapal	0	30	20	dragon-zombie creature frame, correct natural palette	correct	Dragon-zombie creature frame, natural palette, coherent repeating background pattern; no magenta or garbage.	0
